round,local_updates,examples_processed,train_loss,train_accuracy,drift,grad_norm,selected_clients,aggregation_weights,client_losses,client_accuracies,seed,hard_k
16,160,10240,0.4026869897206624,0.8829666666666667,,,"[0, 1]","[0.5, 0.5]","[0.4022293144226074, 0.40314466501871743]","[0.8838666666666667, 0.8820666666666667]",0,5
17,170,10880,0.42878601582845055,0.8576666666666667,,,"[0, 1]","[0.5, 0.5]","[0.42657135111490885, 0.4310006805419922]","[0.8574666666666667, 0.8578666666666667]",0,5
18,180,11520,0.35866151199340823,0.891,,,"[0, 1]","[0.5, 0.5]","[0.3561087158203125, 0.3612143081665039]","[0.8922666666666667, 0.8897333333333334]",0,5
19,190,12160,0.3293998026529948,0.9005000000000001,,,"[0, 1]","[0.5, 0.5]","[0.3246699396769206, 0.334129665629069]","[0.9007333333333334, 0.9002666666666667]",0,5
20,200,12800,0.38521554463704427,0.8803333333333334,,,"[0, 1]","[0.5, 0.5]","[0.3802864776611328, 0.3901446116129557]","[0.8831333333333333, 0.8775333333333334]",0,5
21,210,13440,0.3019016426086426,0.9108666666666667,,,"[0, 1]","[0.5, 0.5]","[0.29720848642985026, 0.3065947987874349]","[0.913, 0.9087333333333333]",0,5
22,220,14080,0.2963089408874512,0.9116333333333333,,,"[0, 1]","[0.5, 0.5]","[0.29304054311116534, 0.299577338663737]","[0.9126, 0.9106666666666666]",0,5
23,230,14720,0.2694980878194173,0.9200999999999999,,,"[0, 1]","[0.5, 0.5]","[0.26682127634684244, 0.2721748992919922]","[0.9207333333333333, 0.9194666666666667]",0,5
24,240,15360,0.27041760940551757,0.9241333333333333,,,"[0, 1]","[0.5, 0.5]","[0.26835163269042966, 0.27248358612060547]","[0.9258666666666666, 0.9224]",0,5
25,250,16000,0.2847034235636393,0.9143,,,"[0, 1]","[0.5, 0.5]","[0.2799807642618815, 0.2894260828653971]","[0.9172666666666667, 0.9113333333333333]",0,5
26,260,16640,0.2643141663869222,0.9236666666666666,,,"[0, 1]","[0.5, 0.5]","[0.26151374384562176, 0.26711458892822265]","[0.9239333333333334, 0.9234]",0,5
27,270,17280,0.28215923970540363,0.9127000000000001,,,"[0, 1]","[0.5, 0.5]","[0.2771899134318034, 0.2871285659790039]","[0.9139333333333334, 0.9114666666666666]",0,5
28,280,17920,0.24331849199930827,0.9279666666666666,,,"[0, 1]","[0.5, 0.5]","[0.23897553151448567, 0.24766145248413085]","[0.9288666666666666, 0.9270666666666667]",0,5
29,290,18560,0.2524960091908773,0.9233,,,"[0, 1]","[0.5, 0.5]","[0.24753979161580403, 0.25745222676595053]","[0.924, 0.9226]",0,5
30,300,19200,0.24933773682912191,0.9248666666666667,0.09460771083831787,1.2377334833145142,"[0, 1]","[0.5, 0.5]","[0.2475869328816732, 0.2510885407765706]","[0.9252, 0.9245333333333333]",0,5
0,0,0,2.306821085611979,0.10706666666666667,0.07011768966913223,0.6291294097900391,[],[],"[2.3074941243489584, 2.306148046875]","[0.1054, 0.10873333333333333]",0,10
1,15,960,2.1679576517740884,0.1875,,,"[0, 1]","[0.5, 0.5]","[2.1677075642903647, 2.1682077392578125]","[0.1954, 0.1796]",0,10
2,30,1920,1.8805775227864583,0.6743,,,"[0, 1]","[0.5, 0.5]","[1.8791401977539062, 1.8820148478190104]","[0.6873333333333334, 0.6612666666666667]",0,10
3,45,2880,1.3428589467366536,0.6096333333333334,,,"[0, 1]","[0.5, 0.5]","[1.338864501953125, 1.3468533915201824]","[0.6166, 0.6026666666666667]",0,10
4,60,3840,1.064832435099284,0.6805,,,"[0, 1]","[0.5, 0.5]","[1.0614965637207032, 1.0681683064778646]","[0.6848666666666666, 0.6761333333333334]",0,10
5,75,4800,0.9094471654256184,0.6873666666666667,,,"[0, 1]","[0.5, 0.5]","[0.902613774617513, 0.916280556233724]","[0.6912666666666667, 0.6834666666666667]",0,10
6,90,5760,0.7152541570027668,0.7894,,,"[0, 1]","[0.5, 0.5]","[0.7115658264160156, 0.7189424875895182]","[0.7928, 0.786]",0,10
7,105,6720,0.7197845578511557,0.7736666666666667,,,"[0, 1]","[0.5, 0.5]","[0.7190151687622071, 0.7205539469401042]","[0.7742666666666667, 0.7730666666666667]",0,10
8,120,7680,0.5342883371988932,0.8458666666666668,,,"[0, 1]","[0.5, 0.5]","[0.5346456024169922, 0.5339310719807943]","[0.8483333333333334, 0.8434]",0,10
9,135,8640,0.4454156316121419,0.8791,,,"[0, 1]","[0.5, 0.5]","[0.44357168731689456, 0.44725957590738935]","[0.8804666666666666, 0.8777333333333334]",0,10
10,150,9600,0.39508748207092287,0.8856333333333333,,,"[0, 1]","[0.5, 0.5]","[0.39174470189412436, 0.3984302622477214]","[0.8860666666666667, 0.8852]",0,10
11,165,10560,0.4338628196716309,0.8610666666666666,,,"[0, 1]","[0.5, 0.5]","[0.4319746887207031, 0.4357509506225586]","[0.8614, 0.8607333333333334]",0,10
12,180,11520,0.349900936126709,0.8994,,,"[0, 1]","[0.5, 0.5]","[0.3476446838378906, 0.35215718841552734]","[0.9018, 0.897]",0,10
13,195,12480,0.3251615865071614,0.9114333333333333,,,"[0, 1]","[0.5, 0.5]","[0.3243477498372396, 0.32597542317708333]","[0.9112, 0.9116666666666666]",0,10
14,210,13440,0.36240573145548505,0.8825333333333334,,,"[0, 1]","[0.5, 0.5]","[0.3608901476542155, 0.3639213152567546]","[0.8848, 0.8802666666666666]",0,10
15,225,14400,0.3004013902028402,0.9083333333333333,,,"[0, 1]","[0.5, 0.5]","[0.2991473823547363, 0.301655398050944]","[0.9085333333333333, 0.9081333333333333]",0,10
16,240,15360,0.270225602722168,0.9238999999999999,,,"[0, 1]","[0.5, 0.5]","[0.2706101323445638, 0.2698410730997721]","[0.9236, 0.9242]",0,10
17,255,16320,0.25935507024129234,0.9228666666666667,,,"[0, 1]","[0.5, 0.5]","[0.2581194076538086, 0.26059073282877604]","[0.9226, 0.9231333333333334]",0,10
18,270,17280,0.27124880498250326,0.9123333333333333,,,"[0, 1]","[0.5, 0.5]","[0.2709375834147135, 0.271560026550293]","[0.9122666666666667, 0.9124]",0,10
19,285,18240,0.23870300547281903,0.9267666666666667,,,"[0, 1]","[0.5, 0.5]","[0.2363642473856608, 0.24104176355997722]","[0.9264666666666667, 0.9270666666666667]",0,10
20,300,19200,0.22619043267567954,0.9319999999999999,,,"[0, 1]","[0.5, 0.5]","[0.22503438771565756, 0.2273464776357015]","[0.9328, 0.9312]",0,10
21,315,20160,0.2231478853861491,0.9314,,,"[0, 1]","[0.5, 0.5]","[0.2209187774658203, 0.22537699330647787]","[0.9332, 0.9296]",0,10
22,330,21120,0.21201871344248452,0.9367000000000001,,,"[0, 1]","[0.5, 0.5]","[0.2110345302581787, 0.21300289662679037]","[0.937, 0.9364]",0,10
23,345,22080,0.20131762835184733,0.9390666666666667,,,"[0, 1]","[0.5, 0.5]","[0.2006025370279948, 0.20203271967569986]","[0.9400666666666667, 0.9380666666666667]",0,10
24,360,23000,0.20224301160176594,0.9387666666666667,,,"[0, 1]","[0.5, 0.5]","[0.20223812014261883, 0.2022479030609131]","[0.9392, 0.9383333333333334]",0,10
25,375,23960,0.21404837112426758,0.9351666666666667,,,"[0, 1]","[0.5, 0.5]","[0.21145611470540365, 0.21664062754313151]","[0.9362, 0.9341333333333334]",0,10
26,390,24920,0.1956088296254476,0.9415,,,"[0, 1]","[0.5, 0.5]","[0.1920568192799886, 0.19916083997090658]","[0.9422666666666667, 0.9407333333333333]",0,10
27,405,25880,0.17779757900238036,0.9491333333333334,,,"[0, 1]","[0.5, 0.5]","[0.17611226374308267, 0.17948289426167807]","[0.9501333333333334, 0.9481333333333334]",0,10
28,420,26840,0.1765157050450643,0.9468333333333333,,,"[0, 1]","[0.5, 0.5]","[0.17540216636657716, 0.17762924372355143]","[0.9470666666666666, 0.9466]",0,10
29,435,27800,0.18954037481943764,0.9392666666666667,,,"[0, 1]","[0.5, 0.5]","[0.18516736844380696, 0.19391338119506835]","[0.9403333333333334, 0.9382]",0,10
30,450,28760,0.1632778367360433,0.9517333333333333,0.08906321972608566,0.5823182463645935,"[0, 1]","[0.5, 0.5]","[0.16217139956156412, 0.16438427391052246]","[0.9514666666666667, 0.952]",0,10
0,0,0,2.306821085611979,0.10706666666666667,0.07011768966913223,0.6291294097900391,[],[],"[2.3074941243489584, 2.306148046875]","[0.1054, 0.10873333333333333]",0,20
1,25,1600,1.963683524576823,0.45089999999999997,,,"[0, 1]","[0.5, 0.5]","[1.9635036092122395, 1.9638634399414063]","[0.46326666666666666, 0.43853333333333333]",0,20
2,50,3200,1.3351510838826497,0.6323000000000001,,,"[0, 1]","[0.5, 0.5]","[1.3338610595703124, 1.336441108194987]","[0.6368, 0.6278]",0,20
3,75,4800,0.9062002680460612,0.7458666666666667,,,"[0, 1]","[0.5, 0.5]","[0.9023200154622396, 0.9100805206298828]","[0.7507333333333334, 0.741]",0,20
4,100,6400,0.6096308293660482,0.8235333333333333,,,"[0, 1]","[0.5, 0.5]","[0.6072925272623698, 0.6119691314697265]","[0.827, 0.8200666666666667]",0,20
